t,u,y
293.7999999999983,-0.15707963267948966,-0.029335233413003876
293.89999999999833,-0.15707963267948966,-0.029211353874465454
293.99999999999835,-0.15707963267948966,-0.02907963182505522
294.0999999999984,-0.15707963267948966,-0.028940162558482394
294.1999999999984,-0.15707963267948966,-0.028793103509934186
294.2999999999984,-0.15707963267948966,-0.028638673667277202
294.39999999999844,-0.15707963267948966,-0.02847715105312982
294.49999999999847,-0.15707963267948966,-0.028310140182430017
294.5999999999985,-0.15707963267948966,-0.02815220269681604
294.6999999999985,-0.15707963267948966,-0.028005188987055684
294.79999999999853,-0.15707963267948966,-0.02786672006029284
294.89999999999856,-0.15707963267948966,-0.027735157284723505
294.9999999999986,-0.15707963267948966,-0.027609427306277388
295.0999999999986,-0.15707963267948966,-0.0274888827213154
295.1999999999986,-0.15707963267948966,-0.027373190953874575
295.29999999999865,-0.15707963267948966,-0.027262245305696126
295.39999999999867,-0.15707963267948966,-0.02715609355724862
295.4999999999987,-0.15707963267948966,-0.027054880591784604
295.5999999999987,-0.15707963267948966,-0.026958802345181263
295.69999999999874,-0.15707963267948966,-0.026868069013918576
295.79999999999876,-0.15707963267948966,-0.026782875929235648
295.8999999999988,-0.15707963267948966,-0.026703380863352593
295.9999999999988,-0.15707963267948966,-0.02662968680133706
296.09999999999883,-0.15707963267948966,-0.02656182941104742
296.19999999999885,-0.15707963267948966,-0.026499768590043785
296.2999999999989,-0.15707963267948966,-0.02644338357512151
296.3999999999989,-0.15707963267948966,-0.02639247117699448
296.4999999999989,-0.15707963267948966,-0.02634674675712712
296.59999999999894,-0.15707963267948966,-0.026305847600363256
296.69999999999897,-0.15707963267948966,-0.02626933836674352
296.799999999999,-0.15707963267948966,-0.026236718322581783
296.899999999999,-0.15707963267948966,-0.02620743005885338
296.99999999999903,-0.15707963267948966,-0.026180869415086818
297.09999999999906,-0.15707963267948966,-0.026156396333119142
297.1999999999991,-0.15707963267948966,-0.02613334636988488
297.2999999999991,-0.15707963267948966,-0.02611104251480503
297.3999999999991,-0.15707963267948966,-0.02608880699347705
297.49999999999915,-0.15707963267948966,-0.026065973274871868
297.59999999999917,-0.15707963267948966,-0.02604189783952976
297.6999999999992,-0.15707963267948966,-0.026015971353408388
297.7999999999992,-0.15707963267948966,-0.025987629034842318
297.89999999999924,-0.15707963267948966,-0.025956360024835184
297.99999999999926,-0.15707963267948966,-0.025921715596004577
298.0999999999993,-0.15707963267948966,-0.025883316063257646
298.1999999999993,-0.15707963267948966,-0.025840856289026642
298.29999999999933,-0.15707963267948966,-0.025794109706900655
298.39999999999935,-0.15707963267948966,-0.02574293081898885
298.4999999999994,-0.15707963267948966,-0.025687256153594483
298.5999999999994,-0.15707963267948966,-0.025627103700074018
298.6999999999994,-0.15707963267948966,-0.025562570866488728
298.79999999999944,-0.15707963267948966,-0.025493831032312814
298.89999999999947,-0.15707963267948966,-0.02542112879263285
298.9999999999995,-0.15707963267948966,-0.025344774011652495
299.0999999999995,-0.15707963267948966,-0.025265134821691758
299.19999999999953,-0.15707963267948966,-0.025182629719109534
299.29999999999956,-0.15707963267948966,-0.025097718920614402
299.3999999999996,-0.15707963267948966,-0.025010895155770964
299.4999999999996,-0.15707963267948966,-0.024922674172209825
299.5999999999996,-0.15707963267948966,-0.02483358505252435
299.69999999999965,-0.15707963267948966,-0.02474416030139053
299.79999999999967,-0.15707963267948966,-0.02465492604925708
299.8999999999997,-0.15707963267948966,-0.02456639258018595
299.9999999999997,-0.15707963267948966,-0.024479045349777854
300.09999999999974,0.15707963267948966,-0.024393336646609386
300.19999999999976,0.15707963267948966,-0.017045639555782963
300.2999999999998,0.15707963267948966,-0.01041398462981377
300.3999999999998,0.15707963267948966,-0.004462287121552333
300.49999999999983,0.15707963267948966,0.0008210044709976673
